src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
37.143.15.137,10.2.1.101,49323,80,6,2017-02-01 22:40:57,0.857201,3023.794885913572,16.332225464039357,9.332700265165347,6.99952519887401,8,6,1857,735,1133,60,232.125,353.4913144265358,441,54,122.5,142.5385912656639,1133,54,185.14285714285714,288.1908735401535,83053.97959183676,160,120,20,6,0.06593853846153847,0.277536,0.0,0.11579644012504503,0.579665,0.302248,0.0,0.08280928571428571,0.13093220562971214,0.580558,0.27805,3.2e-05,0.11611160000000001,0.1322249525053422,2,1,0,0,2,3,0,3,12,0,0,0.75,185.14285714285714,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.125,122.5,0,8,6,1857,735
37.152.88.26,10.2.1.101,49316,80,6,2017-02-01 22:42:28,40.352805,10.408198389182612,0.17346997315304352,0.17346997315304352,0.0,7,0,420,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,140,0,20,7,6.725467500000001,20.810579,0.0,7.138299306077529,40.352805000000004,20.810579,0.0,6.725467500000001,7.138299306077529,0,0,0,0,0,0,0,0,0,6,0,1,0,7,0,0,0.0,60.0,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,7,0,420,0
54.225.223.184,10.2.1.101,49312,80,6,2017-02-01 22:42:28,19.834671,18.15003636813537,0.30250060613558954,0.30250060613558954,0.0,6,0,360,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,120,0,20,6,3.9669342,10.56569,0.0,3.7337417596042926,19.834671,10.56569,0.0,3.9669342,3.7337417596042926,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,0.0,60.0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,6,0,360,0
80.87.196.67,10.2.1.101,49324,80,6,2017-02-01 22:42:39,98.191947,12.984771551581517,0.12220961460312016,0.0712889418518201,0.050920672751300064,7,5,791,484,419,60,113.0,124.95141913102525,256,54,96.8,79.73556295656286,419,54,106.25,108.72145219167497,11820.354166666666,140,100,20,5,8.926540636363638,74.996838,0.0,21.836553952569577,97.899538,74.997264,0.0,16.31658966666667,27.46001206740859,97.909202,74.997098,0.036226,24.4773005,30.57025777342854,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,106.25,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,96.8,0,7,5,791,484
80.87.196.67,10.2.1.101,49325,80,6,2017-02-01 22:44:40,87.545499,14.563855532995476,0.13707158148701623,0.07995842253409281,0.05711315895292343,7,5,791,484,419,60,113.0,124.95141913102525,256,54,96.8,79.73556295656286,419,54,106.25,108.72145219167497,11820.354166666666,140,100,20,5,7.958681727272725,74.999417,0.0,21.456862133236424,87.264428,74.999882,0.0,14.544071333333333,27.36159568610266,87.25795600000001,74.999649,0.03062,21.814489000000002,31.08111728538417,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,106.25,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,96.8,0,7,5,791,484
80.87.196.67,10.2.1.101,49330,80,6,2017-02-01 22:46:40,76.924856,16.574616662265832,0.15599639211544314,0.09099789540067517,0.06499849671476797,7,5,791,484,419,60,113.0,124.95141913102525,256,54,96.8,79.73556295656286,419,54,106.25,108.72145219167497,11820.354166666666,140,100,20,5,6.993168727272726,74.993994,0.0,21.50578238216189,76.645996,74.994473,0.0,12.774332666666668,27.827884333505256,76.638285,74.994192,0.035376,19.15957125,32.239764301959426,1,1,0,0,2,3,0,2,10,0,0,0.7142857142857143,106.25,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,96.8,0,7,5,791,484
80.87.196.67,10.2.1.101,49331,80,6,2017-02-01 22:48:41,66.308351,18.4139702101776,0.1658916235151135,0.10556739678234496,0.06032422673276854,7,4,791,430,419,60,113.0,124.95141913102525,256,54,107.5,85.87636461797857,419,54,111.0,112.35738435092648,12624.181818181818,140,80,20,5,6.6308351000000005,64.002859,0.0,19.130484723721327,66.308351,64.002859,0.0,11.051391833333334,23.68773537816232,64.60376900000001,64.292769,0.030356,21.534589666666673,30.234771218437185,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,111.0,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,107.5,0,7,4,791,430
10.2.2.1,10.2.1.101,61783,53,17,2017-02-01 22:50:51,0.072321,4341.754123975056,41.481727299124735,27.65448486608316,13.82724243304158,2,1,156,158,78,78,78.0,0.0,158,158,158.0,0.0,158,78,104.66666666666667,37.71236166328253,1422.222222222222,40,20,20,2,0.0361605,0.072321,0.0,0.0361605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,104.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,158.0,0,2,1,156,158
91.198.22.70,10.2.1.101,49156,80,6,2017-02-01 22:50:51,1.140541,1023.1986399436759,9.644545877789575,5.260661387885222,4.383884489904352,6,5,632,535,320,60,105.33333333333333,96.03934378969672,315,54,107.0,104.01153782153209,320,54,106.0909090909091,99.74554402939015,9949.173553719009,120,100,20,4,0.1140541,0.473683,0.0,0.1556229573998965,0.922547,0.698827,0.0,0.1845094,0.2712833306309844,0.917475,0.473683,3.5e-05,0.22936875,0.16764562357600482,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,106.0909090909091,8192,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.33333333333333,107.0,0,6,5,632,535
10.2.2.1,10.2.1.101,49850,53,17,2017-02-01 22:50:52,0.096786,2490.0295497282664,30.996218461347716,20.66414564089848,10.33207282044924,2,1,150,91,75,75,75.0,0.0,91,91,91.0,0.0,91,75,80.33333333333333,7.542472332656507,56.88888888888889,40,20,20,2,0.048393,0.096786,0.0,0.048393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,80.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,91.0,0,2,1,150,91
